,Threshold,FP Rate,TP Rate,FAR,FRR,Accuracy
108,0.217,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
109,0.219,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
110,0.221,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
111,0.223,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
112,0.225,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
113,0.227,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
114,0.229,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
115,0.231,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
116,0.233,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
117,0.235,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
118,0.237,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
119,0.239,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
120,0.241,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
121,0.243,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
122,0.245,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
123,0.247,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
124,0.249,0.00018778108481132694,0.0010787486515641855,0.00018778108481132694,0.9989212513484358,50.044548378337645
125,0.251,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
126,0.253,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
127,0.255,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
128,0.257,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
129,0.259,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
130,0.261,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
131,0.263,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
132,0.265,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
133,0.267,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
134,0.269,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
135,0.271,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
136,0.273,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
137,0.275,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
138,0.277,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
139,0.279,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
140,0.281,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
141,0.283,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
142,0.285,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
143,0.287,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
144,0.289,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
145,0.291,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
146,0.293,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
147,0.295,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
148,0.297,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
149,0.299,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
150,0.301,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
151,0.303,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
152,0.305,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
153,0.307,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
154,0.309,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
155,0.311,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
156,0.313,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
157,0.315,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
158,0.317,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
159,0.319,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
160,0.321,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
161,0.323,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
162,0.325,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
163,0.327,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
164,0.329,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
165,0.331,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
166,0.333,4.6945271202831736e-05,0.00026968716289104636,4.6945271202831736e-05,0.999730312837109,50.011137094584406
167,0.335,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
168,0.337,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
169,0.339,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
170,0.341,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
171,0.343,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
172,0.345,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
173,0.347,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
174,0.349,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
175,0.351,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
176,0.353,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
177,0.355,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
178,0.357,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
179,0.359,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
180,0.361,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
181,0.363,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
182,0.365,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
183,0.367,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
184,0.369,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
185,0.371,2.8167162721699044e-05,0.00026968716289104636,2.8167162721699044e-05,0.999730312837109,50.01207600000846
